ano,uf,sexo,idade,cor_raca,renda_mensal,frequentou_curso,concluiu_curso,motivo_evasao
2014,11,Masculino,27,Preta,15000.0,Sim,,
2014,11,Feminino,28,Branca,,Sim,,
2014,11,Masculino,51,Branca,12000.0,Sim,,
2014,11,Feminino,43,Branca,11000.0,Sim,,
2014,11,Feminino,77,Branca,,Sim,,
2014,11,Feminino,39,Branca,,Sim,,
2014,11,Masculino,60,Branca,70000.0,Sim,,
2014,11,Feminino,16,Branca,15000.0,Sim,,
2014,11,Masculino,15,Branca,,Sim,,
2014,11,Feminino,68,Parda,,Sim,,
2014,11,Feminino,35,Parda,10000.0,Sim,Sim,
2014,11,Feminino,18,Parda,7240.0,Sim,Sim,
2014,11,Masculino,60,Parda,9000.0,Sim,,
2014,11,Feminino,58,Parda,8000.0,Sim,,
2014,11,Feminino,55,Branca,20000.0,Sim,,
2014,11,Masculino,60,Branca,35000.0,Sim,,
2014,11,Masculino,33,Branca,35000.0,Sim,,
2014,11,Masculino,33,Branca,15000.0,Sim,,
2014,11,Masculino,29,Branca,50000.0,Sim,,
2014,11,Masculino,39,Branca,16000.0,Sim,,
2014,11,Feminino,42,Branca,12000.0,Sim,,
2014,11,Masculino,65,Branca,15000.0,Sim,,
2014,11,Feminino,62,Parda,,Sim,,
2014,11,Masculino,48,Branca,20000.0,Sim,,
2014,11,Feminino,48,Branca,13000.0,Sim,,
2014,11,Masculino,20,Branca,7240.0,Sim,Sim,
2014,11,Feminino,17,Branca,,Sim,Sim,
2014,11,Feminino,47,Branca,6000.0,Sim,,
2014,11,Masculino,58,Parda,999999999999.0,Sim,,
2014,11,Feminino,29,Parda,10000.0,Sim,,
2014,11,Masculino,22,Parda,7240.0,Sim,,
2014,11,Feminino,20,Parda,,Sim,Sim,
2014,11,Masculino,47,Parda,30000.0,Sim,,
2014,11,Feminino,27,Parda,,Sim,,
2014,11,Masculino,44,Branca,25000.0,Sim,Sim,
2014,11,Feminino,21,Branca,,Sim,,
2014,11,Masculino,56,Branca,7000.0,Sim,,
2014,11,Feminino,55,Branca,,Sim,,
2014,11,Masculino,17,Branca,,Sim,Não,12.0
2014,11,Masculino,48,Preta,14000.0,Sim,,
2014,11,Feminino,38,Preta,,Sim,,
2014,11,Masculino,18,Preta,,Sim,Sim,
2014,11,Masculino,90,Preta,,Sim,,
2014,11,Masculino,49,Branca,15000.0,Sim,,
2014,11,Feminino,43,Branca,14000.0,Sim,,
2014,11,Feminino,20,Branca,9500.0,Sim,Não,Problema de saúde ou gravidez
2014,11,Masculino,33,Preta,13000.0,Sim,,
2014,11,Feminino,40,Preta,16000.0,Sim,,
2014,11,Feminino,21,Parda,8700.0,Sim,,
2014,11,Masculino,55,Branca,12000.0,Sim,,
2014,11,Feminino,56,Branca,8150.0,Sim,,
2014,11,Feminino,30,Branca,25000.0,Sim,,
2014,11,Feminino,73,Branca,,Sim,,
2014,11,Masculino,46,Branca,,Sim,,
2014,11,Masculino,35,Branca,20000.0,Sim,,
2014,11,Feminino,28,Branca,20000.0,Sim,,
2014,11,Masculino,65,Branca,20000.0,Sim,,
2014,11,Feminino,57,Branca,30000.0,Sim,,
2014,11,Masculino,23,Preta,24800.0,Sim,,
2014,11,Feminino,54,Branca,8000.0,Sim,,
2014,11,Masculino,54,Parda,15000.0,Sim,,
2014,11,Feminino,25,Parda,,Sim,,
2014,11,Masculino,41,Branca,20000.0,Sim,,
2014,11,Feminino,30,Branca,12000.0,Sim,,
2014,11,Masculino,41,Preta,12000.0,Sim,,
2014,11,Feminino,34,Branca,8150.0,Sim,,
2014,11,Feminino,58,Branca,4000.0,Sim,,
2014,11,Masculino,16,Branca,,Sim,,
2014,11,Feminino,36,Branca,45000.0,Sim,,
2014,11,Masculino,36,Preta,999999999999.0,Sim,,
2014,11,Feminino,59,Branca,,Sim,,
2014,11,Feminino,30,Branca,,Sim,,
2014,11,Feminino,63,Branca,9000.0,Sim,,
2014,11,Masculino,62,Parda,,Sim,,
2014,11,Feminino,32,Preta,11200.0,Sim,Sim,
2014,11,Feminino,16,Parda,,Sim,,
2014,11,Masculino,31,Branca,30000.0,Sim,,
2014,11,Feminino,41,Parda,20000.0,Sim,,
2014,11,Masculino,71,Parda,8000.0,Sim,,
2014,11,Feminino,58,Parda,0.0,Sim,,
2014,11,Feminino,41,Preta,20000.0,Sim,,
2014,11,Masculino,67,Parda,,Sim,,
2014,11,Masculino,24,Parda,12000.0,Sim,,
2014,11,Feminino,29,Parda,10000.0,Sim,,
2014,11,Masculino,38,Preta,8000.0,Sim,,
2014,11,Feminino,41,Preta,10000.0,Sim,,
2014,11,Feminino,17,Preta,,Sim,Sim,
2014,11,Feminino,28,Parda,,Sim,,
2014,11,Masculino,25,Parda,9500.0,Sim,,
2014,11,Feminino,21,Branca,7000.0,Sim,Sim,
2014,11,Feminino,39,Preta,8150.0,Sim,,
2014,11,Masculino,21,Preta,8150.0,Sim,,
2014,11,Masculino,58,Branca,12000.0,Sim,,
2014,11,Feminino,57,Parda,15000.0,Sim,,
2014,11,Feminino,22,Branca,7240.0,Sim,,
2014,11,Masculino,25,Parda,,Sim,,
2014,11,Masculino,36,Preta,25000.0,Sim,Sim,
2014,11,Feminino,32,Branca,,Sim,,
2014,11,Masculino,49,Preta,10000.0,Sim,,
2014,11,Feminino,49,Preta,,Sim,,
2014,11,Feminino,23,Parda,12000.0,Sim,,
2014,11,Masculino,20,Branca,8150.0,Sim,,
2014,11,Feminino,15,Preta,,Sim,Não,12.0
2014,11,Feminino,46,Branca,999999999999.0,Sim,Sim,
2014,11,Feminino,26,Branca,,Sim,,
2014,11,Feminino,24,Branca,11000.0,Sim,,
2014,11,Masculino,21,Branca,999999999999.0,Sim,,
2014,11,Feminino,39,Branca,7200.0,Sim,,
2014,11,Masculino,28,Parda,30000.0,Sim,Sim,
2014,11,Masculino,17,Branca,18000.0,Sim,,
2014,11,Masculino,47,Parda,,Sim,Sim,
2014,11,Feminino,39,Branca,,Sim,Sim,
2014,11,Masculino,20,Parda,10000.0,Sim,,
2014,11,Masculino,25,Branca,13000.0,Sim,,
2014,11,Feminino,20,Parda,,Sim,,
2014,11,Masculino,30,Parda,15540.0,Sim,,
2014,11,Masculino,62,Branca,7240.0,Sim,,
2014,11,Feminino,44,Parda,,Sim,,
2014,11,Masculino,15,Parda,,Sim,,
2014,11,Masculino,39,Preta,9200.0,Sim,,
2014,11,Feminino,35,Preta,12000.0,Sim,Sim,
2014,11,Feminino,19,Preta,7240.0,Sim,,
2014,11,Feminino,38,Parda,7240.0,Sim,,
2014,11,Masculino,46,Parda,12000.0,Sim,,
2014,11,Masculino,16,Parda,3600.0,Sim,,
2014,11,Feminino,35,Parda,11000.0,Sim,,
2014,11,Masculino,16,Preta,,Sim,,
2014,11,Masculino,16,Parda,,Sim,,
2014,11,Feminino,15,Branca,,Sim,,
2014,11,Masculino,46,Preta,15000.0,Sim,,
2014,11,Feminino,34,Parda,,Sim,,
2014,11,Masculino,17,Preta,8000.0,Sim,,
2014,11,Masculino,28,Branca,9000.0,Sim,,
2014,11,Feminino,30,Parda,8640.0,Sim,,
2014,11,Masculino,32,Branca,12000.0,Sim,,
2014,11,Feminino,32,Parda,12000.0,Sim,,
2014,11,Masculino,30,Parda,12000.0,Sim,,
2014,11,Feminino,20,Preta,8120.0,Sim,,
2014,11,Masculino,63,Parda,10000.0,Sim,,
2014,11,Feminino,67,Parda,1000.0,Sim,,
2014,11,Masculino,17,Parda,8000.0,Sim,,
2014,11,Masculino,27,Parda,11000.0,Sim,,
2014,11,Feminino,28,Branca,,Sim,,
2014,11,Masculino,18,Branca,8500.0,Sim,,
2014,11,Feminino,35,Parda,999999999999.0,Sim,,
2014,11,Masculino,17,Parda,999999999999.0,Sim,,
2014,11,Feminino,16,Preta,,Sim,,
2014,11,Masculino,49,Parda,,Sim,,
2014,11,Feminino,40,Parda,2000.0,Sim,,
2014,11,Feminino,69,Parda,,Sim,,
2014,11,Feminino,39,Parda,,Sim,,
2014,11,Feminino,15,Parda,,Sim,,
2014,11,Masculino,55,Branca,7240.0,Sim,,
2014,11,Feminino,65,Branca,,Sim,,
2014,11,Feminino,67,Preta,8060.0,Sim,,
2014,11,Feminino,25,Parda,15000.0,Sim,,
2014,11,Masculino,25,Branca,18000.0,Sim,,
2014,11,Feminino,44,Branca,,Sim,,
2014,11,Masculino,46,Parda,7000.0,Sim,,
2014,11,Masculino,28,Branca,12500.0,Sim,,
2014,11,Feminino,25,Parda,7240.0,Sim,,
2014,11,Masculino,89,Branca,,Sim,,
2014,11,Masculino,32,Branca,,Sim,,
2014,11,Feminino,47,Parda,7240.0,Sim,,
2014,11,Feminino,19,Branca,7500.0,Sim,,
2014,11,Masculino,44,Parda,10000.0,Sim,,
2014,11,Feminino,53,Parda,,Sim,,
2014,11,Masculino,38,Branca,14000.0,Sim,,
2014,11,Feminino,39,Parda,13000.0,Sim,,
2014,11,Feminino,16,Parda,,Sim,,
2014,11,Masculino,39,Parda,50000.0,Sim,,
2014,11,Feminino,36,Parda,30000.0,Sim,,
2014,11,Feminino,16,Parda,,Sim,Sim,
2014,11,Feminino,52,Preta,,Sim,,
2014,11,Masculino,67,Preta,,Sim,,
2014,11,Feminino,33,Parda,,Sim,,
2014,11,Masculino,34,Parda,,Sim,,
2014,11,Feminino,56,Parda,7240.0,Sim,,
2014,11,Masculino,18,Parda,7240.0,Sim,,
2014,11,Masculino,15,Parda,,Sim,,
2014,11,Masculino,57,Parda,28000.0,Sim,,
2014,11,Feminino,48,Parda,,Sim,Sim,
2014,11,Feminino,38,Branca,7240.0,Sim,,
2014,11,Masculino,19,Branca,6000.0,Sim,,
2014,11,Masculino,16,Branca,,Sim,Sim,
2014,11,Feminino,24,Parda,8150.0,Sim,,
2014,11,Masculino,22,Parda,7500.0,Sim,,
2014,11,Masculino,36,Parda,13340.0,Sim,,
2014,11,Feminino,29,Parda,17500.0,Sim,,
2014,11,Masculino,54,Branca,18000.0,Sim,,
2014,11,Feminino,38,Parda,14000.0,Sim,Sim,
2014,11,Masculino,35,Branca,50000.0,Sim,,
2014,11,Masculino,77,Branca,4000.0,Sim,,
2014,11,Feminino,53,Preta,12000.0,Sim,,
2014,11,Masculino,19,Parda,10000.0,Sim,Sim,
2014,11,Feminino,19,Parda,,Sim,Sim,
2014,11,Feminino,53,Parda,,Sim,,
2014,11,Masculino,31,Parda,,Sim,,
2014,11,Feminino,20,Parda,,Sim,,
2014,11,Masculino,15,Parda,,Sim,,
2014,11,Feminino,77,Branca,,Sim,,
2014,11,Feminino,38,Branca,9000.0,Sim,,
2014,11,Feminino,17,Parda,,Sim,,
2014,11,Feminino,16,Branca,3000.0,Sim,,
2014,11,Feminino,35,Parda,25000.0,Sim,,
2014,11,Masculino,38,Parda,8000.0,Sim,,
2014,11,Feminino,39,Parda,6000.0,Sim,,
2014,11,Masculino,39,Branca,12000.0,Sim,,
2014,11,Feminino,35,Parda,,Sim,Sim,
2014,11,Masculino,63,Branca,9000.0,Sim,,
2014,11,Feminino,60,Parda,,Sim,,
2014,11,Feminino,44,Parda,999999999999.0,Sim,,
2014,11,Masculino,21,Preta,11000.0,Sim,Sim,
2014,11,Masculino,24,Parda,9000.0,Sim,,
2014,11,Feminino,23,Parda,,Sim,Sim,
